id,cname,planting,harvest,wsgd,gwad
14918,Ulanga,2023-01-15,2023-05-19,0,2967
14919,Ulanga,2023-01-17,2023-05-22,0,2991
14920,Ulanga,2023-01-09,2023-05-14,0,3058
14921,Ulanga,2023-02-12,2023-06-22,0.581,3597
14922,Ulanga,2023-01-24,2023-05-29,0,2932
14923,Ulanga,2023-01-31,2023-06-05,0,3230
14924,Ulanga,2023-02-15,2023-06-22,0.277,3398
14925,Ulanga,2023-01-22,2023-05-29,0,3057
14926,Ulanga,2023-02-15,2023-06-22,0,3511
14927,Ulanga,2023-02-10,2023-06-21,0,3663
14928,Ulanga,2023-01-28,2023-06-04,0,3158
14929,Ulanga,2023-02-10,2023-06-20,0,3520
14930,Ulanga,2023-02-01,2023-06-08,0,3314
14931,Ulanga,2023-02-11,2023-06-22,0.543,3718
14932,Ulanga,2023-01-27,2023-06-01,0,3037
14933,Ulanga,2023-02-12,2023-06-21,0,3536
14934,Ulanga,2023-01-24,2023-05-30,0,3204
14935,Ulanga,2023-01-22,2023-05-29,0,3057
14936,Ulanga,2023-01-22,2023-06-02,0,3298
14937,Ulanga,2023-01-30,2023-06-08,0,3339
14938,Ulanga,2023-01-23,2023-05-29,0,3130
14939,Ulanga,2023-02-04,2023-06-11,0,3332
14940,Ulanga,2023-02-05,2023-06-12,0.627,3416
14941,Ulanga,2023-01-22,2023-06-02,0,3334
14942,Ulanga,2023-02-05,2023-06-12,0.088,3277
14943,Ulanga,2023-02-06,2023-06-14,0.663,3356
14944,Ulanga,2023-02-19,2023-06-22,0.51,3012
14945,Ulanga,2023-02-12,2023-06-22,0,3603
14946,Ulanga,2023-02-09,2023-06-22,0,3665
14947,Ulanga,2023-02-02,2023-06-11,0,3383
14948,Ulanga,2023-01-29,2023-06-05,0,3182
14949,Ulanga,2023-01-29,2023-06-04,0,3229
14950,Ulanga,2023-02-17,2023-06-22,0,3370
14951,Ulanga,2023-02-02,2023-06-15,0.566,3570
14952,Ulanga,2023-02-02,2023-06-09,0,3184
14953,Ulanga,2023-02-20,2023-06-22,0.119,3123
14954,Ulanga,2023-02-07,2023-06-14,0.536,3424
14955,Ulanga,2023-02-04,2023-06-12,0,3221
14956,Ulanga,2023-01-24,2023-06-04,0,3323
14957,Ulanga,2023-01-24,2023-05-31,0,3251
14958,Ulanga,2023-02-04,2023-06-13,0.707,3373
14959,Ulanga,2023-02-04,2023-06-11,0,3332
14960,Ulanga,2023-01-28,2023-06-03,0,3156
14961,Masasi,2022-01-09,2022-06-05,0,4232
14962,Masasi,2022-01-15,2022-06-05,0.307,4058
14963,Masasi,2022-01-23,2022-06-05,0.067,3117
14964,Masasi,2022-01-31,2022-06-05,0.62,2588
14965,Masasi,2022-01-15,2022-06-05,0.369,4056
14966,Masasi,2022-01-16,2022-06-05,0.082,3928
14967,Masasi,2022-01-09,2022-06-05,0,4224
14968,Masasi,2022-01-07,2022-05-31,0,4356
14969,Masasi,2022-01-21,2022-06-05,0,3279
14970,Masasi,2022-01-25,2022-06-05,0,2964
14971,Masasi,2022-02-03,2022-06-05,0.629,2339
14972,Masasi,2022-01-12,2022-06-05,0,4136
14973,Masasi,2022-01-18,2022-06-05,0.304,3592
14974,Masasi,2022-01-30,2022-06-05,0.556,2644
14975,Masasi,2022-01-09,2022-06-05,0,4235
14976,Masasi,2022-01-09,2022-06-05,0,4224
14977,Masasi,2022-01-19,2022-06-05,0.514,3436
14978,Masasi,2022-01-25,2022-06-05,0.563,2967
